0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
27,0.4477383862566344,0.552837799762421,0.5926374542070058,0.08084524100008199,301.4633931167281,0.2421357222835982,0.8030594424042581,,,,,,,,,,,,,,,,,,,,,,'MixerSettler' object has no attribute '_inlet_cost'
24,0.9833247985807537,0.3987845600003087,0.8163502300320622,0.7982652904720529,284.6052508853381,0.5081479568630447,0.6957432255102028,,,,,,,,,,,,,,,,,,,,,,'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
43,0.3259263093113646,0.2202190234607918,0.7110784174847742,0.8094200960351017,299.8472810214632,0.09616693343631165,0.9404292121631552,,,,,,,,,,,,,,,,,,,,,,'HXutility' object has no attribute '_inlet_cost'
20,0.5176995753924275,0.8376263348967374,0.6756225480275769,0.7351425976288481,289.09851479680395,0.5413938290301832,0.6957148209051478,,,,,,,,,,,,,,,,,,,,,,'MESHDistillation' object has no attribute '_inlet_cost'
12,0.1749374316032266,0.9820701264951028,0.5165842276818873,0.26080309191292605,349.7115348813602,0.965322809353665,0.558237624261737,1.2937,1.3718,0.03025934350452018,0.13782361190944128,0.15576681870250855,6,6,1.0794987855028504,1,1,0.8426618511662376,8,1,0.07345724105834961,1.2046,1.3698,0.09418581426508463,1.5499439239501953,7.8899677164921105,
44,0.1886882376305453,0.27884346545692273,0.7002877941897742,0.8465764761240823,338.93697047461313,0.404467676309478,0.8876813217510839,,,,,,,,,,,,,,,,,,,,,,'ShortcutColumn' object has no attribute '_inlet_cost'
43,0.9355414307215256,0.7852621170488324,0.6689213558887573,0.5806285527743111,301.6657730252542,0.9400394291135329,0.973566470371642,,,,,,,,,,,,,,,,,,,,,,'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
15,0.30533332395835905,0.4855651922108681,0.4483793005719488,0.9943580168645598,286.5462444561556,0.01807355607915932,0.4938443258119164,,,,,,,,,,,,,,,,,,,,,,'MESHDistillation' object has no attribute '_inlet_cost'
10,0.3664321377044017,0.7440961060042568,0.7208678302597041,0.30802998577320406,314.77559775272726,0.5087631954310763,0.6362689849240769,,,,,,,,,,,,,,,,,,,,,,'ShortcutColumn' object has no attribute '_inlet_cost'
13,0.5898118604757879,0.9787949689891818,0.4866934787441593,0.9060081778397824,306.448366144303,0.35004339985390626,0.6450388516943619,,,,,,,,,,,,,,,,,,,,,,'ShortcutColumn' object has no attribute '_inlet_cost'
34,0.8640811483153961,0.23016224971473118,0.49914346054676395,0.5719469987892623,332.1786591015858,0.04359941137725831,0.9944510557462615,,,,,,,,,,,,,,,,,,,,,,'ShortcutColumn' object has no attribute '_inlet_cost'
24,0.279532385762579,0.8834056728640326,0.7476440020200243,0.952976539839251,298.46777345962954,0.5527096903388065,0.5722352399239213,,,,,,,,,,,,,,,,,,,,,,'HXutility' object has no attribute '_inlet_cost'
49,0.0753387213805276,0.3056664495852532,0.19089194004723103,0.2684480094044679,310.3665503192763,0.37264959840733997,0.39465199766279135,,,,,,,,,,,,,,,,,,,,,,list index out of range
42,0.929923833127351,0.07040908923645896,0.2088978257435987,0.6710764024723683,300.6158021598046,0.2541382327048318,0.2952610593600969,1.6191,3.808,0.04249516325094705,0.01380670611439842,13.436950653388775,5,3,0.269032802970171,2,2,2.3121115387379167,2,1,0.1265869140625,1.5561,3.8642,0.6504821675676197,2.3718369007110596,1.8833200189093429,
17,0.8485849279451821,0.13660766930888465,0.7088401058104277,0.5527646949102171,295.8312810608805,0.419738878360632,0.25618132290009865,,,,,,,,,,,,,,,,,,,,,,'ShortcutColumn' object has no attribute '_inlet_cost'
31,0.08158602098220034,0.0051843442877093785,0.6278316255071413,0.19425452611669108,278.46245060899446,0.3967441488311671,0.05076345418629301,,,,,,,,,,,,,,,,,,,,,,list index out of range
44,0.027614010196517342,0.5788070090180081,0.4384302756057853,0.67195893268167,298.2677553955544,0.15502611256607143,0.9817427042217003,,,,,,,,,,,,,,,,,,,,,,list index out of range
42,0.8603185778498443,0.25022633537981254,0.03883085095598027,0.30323518812175554,314.3553468941425,0.32661857667186134,0.8277862168872101,,,,,,,,,,,,,,,,,,,,,,list index out of range
14,0.965155305207731,0.4572194350975673,0.8419388727044804,0.1943605959914736,304.67425068936427,0.6994422595461173,0.1383392571085596,,,,,,,,,,,,,,,,,,,,,,'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
8,0.9694399134274478,0.7145236446695342,0.04106341001619901,0.39878101935465016,306.3810967937171,0.7439682387348155,0.2508354412939266,,,,,,,,,,,,,,,,,,,,,,list index out of range
10,0.08086487932053597,0.4282716434926139,0.68843105077529,0.05818777614889278,343.471457027239,0.44230799450813146,0.23976338042148757,,,,,,,,,,,,,,,,,,,,,,'ShortcutColumn' object has no attribute '_inlet_cost'
6,0.18284771050759663,0.934520535939976,0.6382067667839662,0.5166445878008241,323.5975722945129,0.4356293313880234,0.7299663126301624,,,,,,,,,,,,,,,,,,,,,,'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
3,0.565980606773027,0.1586305829977268,0.12015263134086164,0.34184547874973,280.06852806763504,0.09414757256973329,0.3113821680603551,,,,,,,,,,,,,,,,,,,,,,list index out of range
49,0.17531273686234963,0.017159385721567066,0.7632880865616107,0.8068322857530746,299.66543272388384,0.4646273455583176,0.6497087052744992,,,,,,,,,,,,,,,,,,,,,,list index out of range
