Params,Error
"[44.75205153463091, 0.28026285460471917, 0.9538757625595683, 0.817011221804086, 0.06871196908279811, 291.66199471278503, 0.1608341338717197, 0.9841308537840817]",'MESHDistillation' object has no attribute '_inlet_cost'
"[29.61307260795728, 0.6322391259417769, 0.846381086593464, 0.31270248333112705, 0.0721942458008411, 307.98401776575525, 0.2053323480055978, 0.0947519477290039]",list index out of range
"[16.812397202772836, 0.15747244101698238, 0.5295182514977698, 0.00924771006838019, 0.15235009256402396, 317.0969414469474, 0.24774194508123787, 0.4341057321652915]",list index out of range
"[14.683400456937848, 0.75034769403451, 0.9115085061209144, 0.6546119419028519, 0.5308299418143154, 284.7996933141576, 0.3246930481411075, 0.0014770102458930305]",list index out of range
"[4.7106381331705105, 0.25164467021030396, 0.08297120783843447, 0.3967666270797996, 0.6790346412339748, 282.28639101922124, 0.617736093052587, 0.4086852112905132]",list index out of range
"[20.728118583253007, 0.49005408957684526, 0.8292663266850477, 0.6260910854731392, 0.7036370142181185, 328.59160112100756, 0.019708683415370912, 0.006480622115149634]",list index out of range
"[28.881649850815624, 0.7960928083653727, 0.8836763260166572, 0.8975768614599199, 0.047458843807162934, 325.5031525791139, 0.6624417012571213, 0.08569728646600655]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[26.637215843855106, 0.6890923661103779, 0.6684617967087142, 0.03830205392612382, 0.0019812462701304825, 342.683533180227, 0.907958857616524, 0.3851131897241844]",list index out of range
"[7.690141579250487, 0.4395919123336115, 0.020486703112715967, 0.026356134230365206, 0.7815445276582903, 335.9170591113681, 0.1965466640928453, 0.7263431404469701]",list index out of range
"[21.584613595141324, 0.0017998869572693845, 0.11186413344976223, 0.39023653138359937, 0.1488697304528681, 298.5873044715346, 0.5670780883808295, 0.9698256195021558]",list index out of range
"[4.327415224157867, 0.7998369763620975, 0.8913167006579937, 0.09451420377651278, 0.7609536322626694, 276.0043257727013, 0.6850460786946142, 0.4738262215771269]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[36.785638578720686, 0.5674522920089763, 0.07568472063237543, 0.9233658149429937, 0.4683894368568189, 294.4340979590763, 0.7082004419008039, 0.7050097805571551]",'HXutility' object has no attribute '_inlet_cost'
"[40.55567626859548, 0.4414226947610298, 0.7484700843679255, 0.31244033907836277, 0.7814409016347285, 307.2143643630955, 0.7248153177623342, 0.09453458310219608]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[14.202505607607142, 0.5002592827494892, 0.8803919024851745, 0.27175776334816926, 0.09397731087325684, 332.66499343727156, 0.8450057867140189, 0.17217662978593787]",list index out of range
"[42.5196080453851, 0.12072796018389903, 0.4963398982495025, 0.9937674987754952, 0.7665484099841429, 286.03132941852857, 0.7689266043845124, 0.8989583327333326]",'HXutility' object has no attribute '_inlet_cost'
"[19.12312554740402, 0.694709956445588, 0.48855099513243316, 0.13581112099312928, 0.4457766142822257, 347.7268988637002, 0.7716870145912595, 0.14933270959519027]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[7.918582971289975, 0.13257270230895038, 0.3452236126964018, 0.608044867618926, 0.2985259231411203, 292.92318227260694, 0.348619782680636, 0.7776952132701926]",'MESHDistillation' object has no attribute '_inlet_cost'
"[42.6000918402295, 0.18728134460507975, 0.978086294703795, 0.9815152762536289, 0.11622034601333842, 293.4910687988679, 0.43175610615996596, 0.004839429744083495]",list index out of range
"[8.294216758994517, 0.9917398264178762, 0.1850783511296733, 0.23278938551864528, 0.468769282075887, 314.83718004195504, 0.3286061371675454, 0.20384834764520066]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[38.939118490288806, 0.7038412899737754, 0.5956654329752372, 0.7888102470531904, 0.009010121476946907, 338.52544069680596, 0.7506563925471869, 0.7941217691215222]",list index out of range
"[33.16973417992527, 0.27265095691489405, 0.9109097038484857, 0.47050209553795946, 0.10294572258260419, 334.69913251369564, 0.052801929719350514, 0.9945286301945602]",list index out of range
"[39.768309084515764, 0.4355183562089588, 0.2011313914365095, 0.6154691110130613, 0.6281400390449737, 282.9384683763998, 0.8880308945132667, 0.8451474730076806]",'HXutility' object has no attribute '_inlet_cost'
"[45.54288852432215, 0.30326856086639015, 0.30734939063882943, 0.3369726164533042, 0.639861991869036, 296.1077637223437, 0.9030093907124135, 0.6694562323884413]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[49.74938954463186, 0.11361202656613449, 0.6782548164773898, 0.2853623682614087, 0.8803532190014857, 337.9079187203549, 0.531320239182467, 0.6475963492792408]",'HXutility' object has no attribute '_inlet_cost'
"[36.80021748223238, 0.0023799692152656183, 0.6305340238134435, 0.39200275703775295, 0.565142724254985, 302.00314747941763, 0.6549509436766467, 0.36895323581856704]",list index out of range
"[9.93299702609099, 0.9717194271859163, 0.025603428033346656, 0.8772421497733801, 0.0012762802365368891, 281.08419960944605, 0.2834074338847982, 0.47393266193539485]",list index out of range
"[26.774728526846996, 0.0356994485789413, 0.16685414529713719, 0.9230690486052143, 0.08040800239621464, 341.3028379523048, 0.07277947992331897, 0.8879961907982492]",list index out of range
"[29.82202934660267, 0.7511519112287568, 0.8857836962409739, 0.8133102060745359, 0.007138956019286979, 316.9295240492153, 0.33360783878887096, 0.4990727853608207]",list index out of range
"[46.70707734720716, 0.08428026908580456, 0.25887127238451507, 0.8673332857080179, 0.48074774155827976, 294.7458569778604, 0.025948636391431103, 0.5076274499996716]",list index out of range
"[41.71273324439735, 0.6066556724469163, 0.24964315058694844, 0.19162873061079608, 0.22305567989445593, 302.72263157562696, 0.028882907720512205, 0.2567349527795471]",list index out of range
"[10.20925537638107, 0.12337622028470131, 0.1530802251219131, 0.33151697267228136, 0.25803725859648036, 324.36182566535877, 0.31004824711832757, 0.5457140259710231]",list index out of range
"[48.01156585968279, 0.43968846883110924, 0.6914599271801163, 0.5698414405266963, 0.1537868584330344, 299.1288654704856, 0.5115286537868965, 0.12948462181173145]",'HXutility' object has no attribute '_inlet_cost'
"[34.4589598932288, 0.747402070126284, 0.8796049920805225, 0.04984913317566293, 0.29090904635414383, 341.61887361082734, 0.599453610195967, 0.17190085498706187]",list index out of range
"[33.24037561484089, 0.5267380712867938, 0.06249576675502555, 0.15029675122967726, 0.10767791967103957, 327.7385828439328, 0.7339332441597162, 0.3218585668930036]",list index out of range
"[38.26278018297522, 0.49046471907182154, 0.8621290373648403, 0.7298161588301099, 0.5173030959169561, 306.61051476427343, 0.5549624727556872, 0.28310010112142026]",'MixerSettler' object has no attribute '_inlet_cost'
"[39.751919951005874, 0.3561444411673309, 0.7880291796314421, 0.07940739968460535, 0.34423236083659703, 301.47897685109405, 0.7016866182362096, 0.48981795242864273]",list index out of range
"[3.408042699454092, 0.6624524224001301, 0.4660331704869248, 0.059296245972227664, 0.7415026450731169, 317.07567047013, 0.9583007037007025, 0.9379452184309894]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[37.08942152477784, 0.5871645044820994, 0.3618923719777929, 0.994600733965279, 0.09261574674982591, 291.0289507845544, 0.24875231939272135, 0.9648583347645947]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[18.455410757922603, 0.6009150179777432, 0.14487661714864145, 0.9979979090589481, 0.10876180788022893, 290.7096512226569, 0.9631797307957096, 0.019535364949998912]",'HXutility' object has no attribute '_inlet_cost'
"[41.86283496009784, 0.026807937625476775, 0.6542200940505902, 0.4498295281720325, 0.07909688858680751, 329.025349607631, 0.10236965875212996, 0.38875187249749493]",list index out of range
"[37.72926341405692, 0.6849591990009783, 0.05785494210270789, 0.794814635527556, 0.8037064724697474, 279.68805853038145, 0.3792729008995141, 0.3435810396047918]",'MESHDistillation' object has no attribute '_inlet_cost'
"[15.728640352548238, 0.1986016916333605, 0.3246475879262697, 0.33576184265265885, 0.9762573232791885, 290.1333620106613, 0.24253369944511724, 0.11092076225547189]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[46.15917467146333, 0.0711437331471302, 0.6437721181792905, 0.21262045090618137, 0.8991529267818764, 285.32027530936125, 0.610486134585254, 0.7424358509694872]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[42.78319048280566, 0.022783182697193413, 0.47232960067033786, 0.41879736674368473, 0.8004210740707687, 332.92613344790215, 0.30806857098186574, 0.13989979035623742]",list index out of range
"[13.450671826577922, 0.10121839116620289, 0.5398034474354723, 0.5807031610442991, 0.246475047608581, 308.07313690198424, 0.85854463168209, 0.02706571367925418]",'MixerSettler' object has no attribute '_inlet_cost'
"[19.762610974090364, 0.4518646206139837, 0.17586287524773797, 0.7313687704050775, 0.5932425658689623, 320.1829352974504, 0.9146267314319454, 0.3054620008135989]",'HXutility' object has no attribute '_inlet_cost'
"[39.59545000319226, 0.38450650573722894, 0.011254961122918043, 0.8577822395928478, 0.8065275335189146, 341.9093401875097, 0.9904532763967057, 0.792140754414108]",list index out of range
"[15.470664355245251, 0.20191154720021015, 0.6746352766193976, 0.041792257642356556, 0.025441936004152666, 303.3123525653013, 0.19355604928152573, 0.838953475581072]",list index out of range
"[15.481883338655248, 0.3611469822380511, 0.1948711412007735, 0.4734090709600433, 0.2863751728324286, 346.49507086590836, 0.14211621753206924, 0.9533777052538283]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[41.54416735198122, 0.3130520181161563, 0.8149314982903991, 0.5370764906900616, 0.20382528631837243, 337.38214177678987, 0.30031018898445444, 0.990020160479148]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[41.64933789309366, 0.30850945154428455, 0.48549098555568404, 0.25219838762913654, 0.9490066656713267, 279.47892539336175, 0.49433146442836084, 0.233383695118249]",'HXutility' object has no attribute '_inlet_cost'
"[45.51312509223781, 0.08247158334417326, 0.5232400892370124, 0.06266374145302642, 0.7460709637033952, 294.00383858478654, 0.4779052215338748, 0.11198654537325788]",'HXutility' object has no attribute '_inlet_cost'
"[29.777518154943678, 0.5385970329053424, 0.8866921385094239, 0.512728610740314, 0.026906851497261502, 307.51914775417987, 0.4617508758355255, 0.13187587214970922]",list index out of range
"[41.773782469511374, 0.3154735320118132, 0.40359232557433866, 0.4097544543292175, 0.014489971565046061, 329.60744836485645, 0.01163689669283183, 0.6532507362957576]",list index out of range
"[5.370728026679848, 0.05218636561447612, 0.3380355329416576, 0.5765837997661416, 0.2397312326112987, 336.1567004321305, 0.9118590999451762, 0.3489251572282392]",list index out of range
"[15.461190214924825, 0.14839062793708246, 0.9341540383014074, 0.26839208347968796, 0.056391678434252114, 285.72972270497047, 0.4450843259376142, 0.361090935208239]",list index out of range
"[16.007551744134332, 0.8005872536491712, 0.5405525798454405, 0.6801162401352886, 0.05119594449914986, 318.95838257834544, 0.18540661513615395, 0.5390518612097775]",list index out of range
"[34.25828210689563, 0.1940795420196522, 0.7687900545012012, 0.1262236051159175, 0.11264395404993813, 280.72390218748745, 0.25635577912821633, 0.549843573352938]",list index out of range
"[3.2371596786427173, 0.1254044574625418, 0.4078843439707436, 0.7305034320889017, 0.1418411359611265, 347.17904560863616, 0.23762733283131926, 0.4286509161675243]",'HXutility' object has no attribute '_inlet_cost'
"[21.495202542718495, 0.023754811389537, 0.3692937025441226, 0.532256426475985, 0.5936826259984519, 321.7645998863296, 0.2464384909830408, 0.41624199281354896]",list index out of range
"[30.518728828023136, 0.992827523115886, 0.2688215877571026, 0.8846283227029597, 0.3933640395046257, 330.56621874731167, 0.698886678957375, 0.020362211228512277]",'MESHDistillation' object has no attribute '_inlet_cost'
"[34.9726577971182, 0.44988628553227344, 0.7521924517410564, 0.7103547687524335, 0.5082219969208583, 277.26240880374456, 0.856973358201694, 0.11215977489287628]",'HXutility' object has no attribute '_inlet_cost'
"[31.211939196152898, 0.011257268446979635, 0.05192004161603956, 0.8832865010668158, 0.5817399421733013, 279.71440425052, 0.31878883293187543, 0.4038668679308632]",list index out of range
"[12.161295602522259, 0.1782863801407578, 0.006436328904191949, 0.051855388071895304, 0.08216790716296322, 280.0274682090242, 0.004762112636293821, 0.05031271400066665]",list index out of range
"[17.77730444958356, 0.363480434152077, 0.919989746051973, 0.9508787401664949, 0.8484075288911171, 324.9837108695541, 0.27741871737702833, 0.8753805875418899]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[28.58342950221011, 0.5753595303283963, 0.45806799979217466, 0.22170483357023238, 0.168397961941727, 334.0099422766441, 0.2984882515019935, 0.7137425073848405]",list index out of range
"[21.590677842986803, 0.37251642436087923, 0.107459736903756, 0.5581267321075776, 0.569137254661953, 308.8528012925983, 0.2890969530989889, 0.7003471488308204]",'MixerSettler' object has no attribute '_inlet_cost'
"[36.05826019592534, 0.43327339261787756, 0.39145501620546563, 0.8173004074272876, 0.028639751271717816, 277.0111084796413, 0.5926431063557481, 0.17018765193842983]",'HXutility' object has no attribute '_inlet_cost'
"[10.490050294307734, 0.053367222763633454, 0.11104719945397591, 0.3361972877301232, 0.5670912120843394, 284.7716323709296, 0.3680171548359164, 0.7634531107474769]",list index out of range
"[35.14372311463564, 0.2994094208797586, 0.9330858296022565, 0.6161477991702901, 0.1353363088802475, 304.3045247139196, 0.5734838675436382, 0.7592601712050965]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[37.72853109863553, 0.8618646452974439, 0.35205150641502814, 0.24253495852903184, 0.1639237789539349, 289.6052565049154, 0.9095299730697805, 0.1000137182047417]",list index out of range
"[23.311276070581727, 0.11429308109939236, 0.7013120110880685, 0.20533065624886596, 0.44291611109679796, 279.5758486185125, 0.32035515469202935, 0.08602097239857652]",'MESHDistillation' object has no attribute '_inlet_cost'
"[16.46658641559097, 0.3811174339313474, 0.09707926554761034, 0.6924698355899138, 0.5836180610111734, 346.89454414609827, 0.5262963850289107, 0.6289340932176913]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[46.517101610109506, 0.18681539245313614, 0.009190168183626824, 0.36058922492064166, 0.47382275410428265, 326.8309589491274, 0.8537545100788674, 0.37519034204888213]",list index out of range
"[38.266285971526415, 0.7866652024739569, 0.16598572038730885, 0.08702973478465213, 0.04967216795392887, 321.2216330371774, 0.534855763460637, 0.22226372972103894]",list index out of range
"[8.440839683452593, 0.29604272526432035, 0.7440985601918739, 0.9765124301557289, 0.22431636058251703, 307.126855977799, 0.18205363543029898, 0.04592250415879603]",'MixerSettler' object has no attribute '_inlet_cost'
"[6.6963087041698435, 0.08198103982602761, 0.8464848924812706, 0.5092389859402892, 0.06649952427664949, 314.2251313099432, 0.7354777358587199, 0.21709821175532215]",list index out of range
"[14.359295506142693, 0.03771310290298696, 0.737491633736751, 0.299626110693646, 0.0992812671699912, 328.050762138325, 0.34617249580030773, 0.5162082061786331]",list index out of range
"[27.49895577907136, 0.03958008346655153, 0.6593953611316292, 0.567869155087714, 0.28176168661004386, 294.35023233713014, 0.7882062601038196, 0.8679600411615963]",'MixerSettler' object has no attribute '_inlet_cost'
"[41.43842375132699, 0.5500734762723288, 0.26112377000234394, 0.2901180982334969, 0.39908445330517395, 340.0662562606506, 0.9929226099643947, 0.12384681421528272]",'HXutility' object has no attribute '_inlet_cost'
"[46.640423199685266, 0.8800221247115328, 0.40174268736842944, 0.5693272642669471, 0.3655574914357702, 349.12412409410524, 0.9924170342381634, 0.02504888451949604]",'MESHDistillation' object has no attribute '_inlet_cost'
"[2.8276059425270113, 0.0759918842177283, 0.616508409518366, 0.014235092058070775, 0.238361603841962, 289.4963270323233, 0.7472740895747509, 0.5112603311303083]",list index out of range
"[10.858292001033758, 0.4333181294356432, 0.278695957562891, 0.8328711218122961, 0.13387138246052824, 277.03401682541687, 0.7270275690212604, 0.11715958821846235]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[16.567229957872655, 0.056485826958550575, 0.38211358183061556, 0.6642805849566321, 0.8245985961053459, 278.3651935399285, 0.12965277486626997, 0.16210696692040305]",list index out of range
"[47.84933099599774, 0.237349853918928, 0.6611119310200956, 0.45632455305354735, 0.22897715524352208, 341.98128694793934, 0.31110271931436373, 0.6514095518906572]",'MESHDistillation' object has no attribute '_inlet_cost'
"[23.88518060289343, 0.6771636312953754, 0.6919522355907397, 0.6734677270374261, 0.646693781764358, 284.86928555926175, 0.23969823666276505, 0.11715494395497235]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[19.289400795052824, 0.4455357573049547, 0.1292970010975577, 0.19053238580167633, 0.3496837518698126, 349.4203005722659, 0.29783811571101526, 0.23017483984298276]",'HXutility' object has no attribute '_inlet_cost'
"[24.35872517911322, 0.7411175282826912, 0.05044023345875546, 0.15680714943549096, 0.5686447878894024, 323.3207995347014, 0.13266091810181058, 0.43245816506833085]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[16.721275601367697, 0.4277422234835815, 0.1851450672865901, 0.5762294134043346, 0.6926105554461378, 341.99241338058926, 0.6768544860092803, 0.06944868423300424]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[33.61728269950239, 0.41130843377499454, 0.4874158275255083, 0.13981980072763384, 0.15416974214748463, 308.11065562456724, 0.5265280044562047, 0.10629239860293235]",list index out of range
"[24.71212922313358, 0.275643399056439, 0.7352929515317759, 0.0001570043169067802, 0.5151777631275971, 296.30361814734295, 0.8135892452063589, 0.7248842819786808]",list index out of range
"[27.2756329967975, 0.8704175521416478, 0.3500705621045663, 0.9906988222835722, 0.7793348511797228, 310.29660569717385, 0.0319901722555271, 0.4921485023586094]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[1.747981962639611, 0.28743154423217104, 0.02191814569944932, 0.6060286103146669, 0.466443088195866, 286.3035802642223, 0.9731351086337819, 0.21494611138486322]",list index out of range
"[32.078103820756056, 0.37791170814554387, 0.05464982711068041, 0.5575767093700019, 0.84840872832473, 296.18306250550927, 0.15016257894334986, 0.03489414762409069]",list index out of range
"[18.157246264476818, 0.702337754524321, 0.40928106745942744, 0.5312089799834522, 0.17751721881106997, 299.4342862015469, 0.3560170002056186, 0.12186329033396154]",'HXutility' object has no attribute '_inlet_cost'
"[12.33729437576332, 0.07003354728008811, 0.04444599038281392, 0.16034290771544177, 0.25889013650877707, 293.70096212676197, 0.46303742340783444, 0.48973115937869083]",list index out of range
"[19.966553397619766, 0.2927580570945958, 0.2014444679630279, 0.3979514051899974, 0.5388788368693418, 297.6569122691582, 0.278692156572678, 0.2541070260974326]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[16.346925501587982, 0.4346099258513459, 0.9776208345983566, 0.44182968129092043, 0.13162067336307323, 320.7333390456387, 0.7669501933295061, 0.44339277835380847]",list index out of range
"[2.4950710940387286, 0.05239110643629589, 0.40488145207621584, 0.12402541338190948, 0.44315067971780964, 329.38006506192767, 0.6171325051423255, 0.08630425664567196]",list index out of range
"[28.348923053510124, 0.8874925897554825, 0.10086414419873642, 0.25263615769393416, 0.023093779579223515, 335.95240994086544, 0.7958051020546065, 0.01436816078638034]",list index out of range
"[15.329729503823893, 0.2833018173387221, 0.1269895538100803, 0.3958901300679695, 0.44108664463006114, 346.9102452640027, 0.9366977832734656, 0.5496187375784872]",list index out of range
"[14.214489671267025, 0.2887013945646811, 0.4095891645299688, 0.47840763115966806, 0.5562884875191281, 320.3797889165368, 0.11446342506774027, 0.08596719275697179]",'MESHDistillation' object has no attribute '_inlet_cost'
"[43.1219854168558, 0.7316947998020856, 0.10048891128548808, 0.4706295635397466, 0.7095341119438002, 317.77679935906116, 0.14352692089274052, 0.6145583473544247]",'HXutility' object has no attribute '_inlet_cost'
"[35.86400401687491, 0.4242211837534486, 0.5561242230840425, 0.1457289128626926, 0.46344109021005087, 292.391814980852, 0.8220011633037767, 0.30578418713669336]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[18.016108497981463, 0.37512904823189747, 0.2505059819645845, 0.7648374646680718, 0.33391620827739754, 292.4073616359186, 0.7978227251641388, 0.5351143573326353]",'MESHDistillation' object has no attribute '_inlet_cost'
"[22.536892976727593, 0.7434346414179852, 0.5009339728080624, 0.04265037284640691, 0.8065784420071285, 293.5659075229292, 0.6741434832160434, 0.48816718869491715]",'MixerSettler' object has no attribute '_inlet_cost'
"[31.124452824126873, 0.946755629762043, 0.3341718412864537, 0.1769889317603182, 0.517185730739838, 326.27739427559544, 0.707776914211696, 0.5637673629163585]",'MixerSettler' object has no attribute '_inlet_cost'
"[39.34166856559314, 0.06425207692049044, 0.7917847916755516, 0.9559687130234698, 0.9654318010060833, 330.4756685646578, 0.009874900809781331, 0.7256926398642299]",'MixerSettler' object has no attribute '_inlet_cost'
"[4.3795864186943145, 0.4514155288635519, 0.6053976809528981, 0.23806184521647458, 0.5130982855553224, 309.57396412426334, 0.251279734935968, 0.37790341328704286]",'MixerSettler' object has no attribute '_inlet_cost'
"[7.639805989408747, 0.5966480380857688, 0.11716923794175041, 0.004913527202717609, 0.38448249369658155, 343.4887770298094, 0.26874180137663384, 0.0965573369361612]",list index out of range
"[10.489160980881508, 0.8221427641379022, 0.040069558657517136, 0.82059522128059, 0.344710343913253, 340.31975641883116, 0.3963380855134276, 0.8872574088885745]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[26.861011436605548, 0.05353943713565411, 0.36360549406245246, 0.9416403019924005, 0.6234738071290764, 330.25435920813345, 0.1154391354310196, 0.0028655382661917994]",list index out of range
"[40.22113785628785, 0.242297102757697, 0.2519361336950369, 0.010932051190469767, 0.9515909070632069, 293.21395058485376, 0.9427750659865718, 0.726262392312827]",'HXutility' object has no attribute '_inlet_cost'
"[23.56577186917848, 0.17711223265131693, 0.006430462716290578, 0.7428445179361555, 0.17026382795626477, 306.4039357550227, 0.06949420635557292, 0.7131611794787989]",list index out of range
"[49.16576942361923, 0.07768013791729035, 0.22363985138265452, 0.3225762049590943, 0.9845917598870743, 316.65284824288506, 0.6233053037591403, 0.812653181188131]",list index out of range
"[13.751388134416626, 0.28234509243313355, 0.3310435871599782, 0.3469554647039667, 0.775761013984902, 290.88329869465593, 0.853401158826728, 0.75617149613445]",'MESHDistillation' object has no attribute '_inlet_cost'
"[19.573128839763378, 0.3747190791866663, 0.752799093748455, 0.12534721966313578, 0.7564830271552525, 312.3090171663517, 0.7513442637866208, 0.02613183120315019]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[9.224079089961085, 0.7240169356721042, 0.028008878688628162, 0.3806465023353958, 0.2817295898932739, 316.36551348515974, 0.0027943019360963293, 0.7054191385616371]",'HXutility' object has no attribute '_inlet_cost'
"[39.62226420627323, 0.3336977805357657, 0.03575383294222104, 0.034702941014837584, 0.29127563915018084, 324.5683546929701, 0.47809234521502464, 0.4748823127390311]",list index out of range
"[36.88324075882966, 0.8014355110692633, 0.6521498934102626, 0.11750987340799038, 0.23452131349399385, 349.04432071047154, 0.4875812621912975, 0.23788572029788277]",list index out of range
"[23.166936148264885, 0.9972657509503584, 0.4212563479339812, 0.8788154564863262, 0.5448267343660468, 294.30428136354595, 0.004205037682248236, 0.15334822310597115]",list index out of range
"[14.630296066479865, 0.09000365103492287, 0.5603011370118126, 0.15169604604473655, 0.6477334472377023, 339.3248522851678, 0.5300501242058894, 0.24068802546347637]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[21.472494237098303, 0.6851781428044544, 0.6223126933788287, 0.2855379076549904, 0.24334292202288524, 325.57350368642665, 0.43523302940659897, 0.7676921916402527]",list index out of range
"[13.535122109803147, 0.22166319862229897, 0.1292053244710607, 0.9883457960517326, 0.10436161696115591, 302.2073530255104, 0.7389434272715918, 0.54719341499155]",list index out of range
"[24.585636475996125, 0.19973881918524408, 0.4371418701197885, 0.38736516430711426, 0.7237424557664259, 306.91296386007406, 0.433177487936728, 0.6381358331135585]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[12.325165102903545, 0.6165140210583341, 0.469927125852667, 0.1048035160184911, 0.14777142881882277, 339.3826574791366, 0.6323474717014151, 0.9823888902951012]",list index out of range
"[18.314874806037853, 0.0323970649974084, 0.22322547242057636, 0.3719385629922121, 0.879911617633524, 325.141584075686, 0.825468049051484, 0.12459567540096508]",list index out of range
"[10.591465729457013, 0.012848557322208257, 0.67850760364781, 0.7609979898667774, 0.7547395570154385, 300.5854646194054, 0.8867896911451362, 0.8577344161008227]",list index out of range
"[2.7598049944760965, 0.14779130117188877, 0.29847361544848394, 0.858978995369827, 0.9696955926696554, 284.64624920773906, 0.27760017597919995, 0.8257414791528211]",'HXutility' object has no attribute '_inlet_cost'
"[41.2532724409122, 0.6320999576101007, 0.1776655113227246, 0.43894735895731896, 0.04979031237454595, 349.36504870787917, 0.08689502613672785, 0.9895583601352491]",list index out of range
"[32.3651066588676, 0.9178066730765909, 0.4141005316407668, 0.2723500042515296, 0.3038957937489646, 313.50768017789534, 0.04185031368714495, 0.8202652566502326]",'HXutility' object has no attribute '_inlet_cost'
"[48.558924997100135, 0.48719805356797924, 0.01810737347652255, 0.028101993948691416, 0.5609321866519272, 286.13882623620157, 0.3050763031627332, 0.1597972599824005]",list index out of range
"[5.1439869916811025, 0.498463320873854, 0.20088442024620953, 0.673490721202348, 0.8242143384148809, 295.6340515607607, 0.3188411624423457, 0.10026877028446868]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[39.85343368497601, 0.25018384148206146, 0.24411881367879418, 0.570807155152382, 0.5954256575768077, 299.2707485782154, 0.4971575650737231, 0.9949145717088042]",'MixerSettler' object has no attribute '_inlet_cost'
"[45.75083236124374, 0.6284179763886819, 0.2831040216892605, 0.2153934685487057, 0.03833466893913611, 325.70390356084715, 0.2928518096413191, 0.7611399391697551]",list index out of range
"[19.724238901359527, 0.3586867721112034, 0.9144458996528886, 0.12360449157208822, 0.1569642654190017, 283.60134826286804, 0.5754927695419407, 0.31953287914573714]",list index out of range
"[25.44554902012682, 0.13129920952955199, 0.35281661673264814, 0.4211429883527904, 0.39686284947740763, 281.8029037502186, 0.10271464159149689, 0.21677569828664997]",'HXutility' object has no attribute '_inlet_cost'
"[21.12816128362606, 0.20670220441752946, 0.4112043108073555, 0.7683804196233627, 0.7489384216220312, 287.99008359236745, 0.4443335242253613, 0.9301443796893781]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[46.11384205968704, 0.6255062821517887, 0.5124314761282195, 0.07874134138938028, 0.5217147513567094, 280.967383659316, 0.31580097561134196, 0.5978902719052532]",list index out of range
"[28.465931427831613, 0.2086644949195443, 0.23447157678751865, 0.06274996122744647, 0.8688282921218674, 344.3796867646531, 0.1859790505250644, 0.15251306776825285]",'MixerSettler' object has no attribute '_inlet_cost'
"[38.5805256055651, 0.03982484438879129, 0.7550190600560418, 0.5091035746158725, 0.6721764126108556, 321.4423706738401, 0.48875382627649655, 0.9696759937932795]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[32.25894450088156, 0.2926446129466465, 0.01249414332022854, 0.45053199197888166, 0.17467846947167703, 338.16053938519485, 0.18816526108599466, 0.8316183931784327]",list index out of range
"[7.837314570411784, 0.9717467057689757, 0.13922203298014968, 0.8513122594881691, 0.2078241442499553, 279.9424835393012, 0.9316002333565588, 0.18079321384070327]",'HXutility' object has no attribute '_inlet_cost'
"[32.139527467342845, 0.9457343030151528, 0.9426430862868455, 0.4722592001547613, 0.25424615454865984, 294.3863463301299, 0.02843099979140344, 0.7535147147921956]",'MESHDistillation' object has no attribute '_inlet_cost'
"[19.71305519089652, 0.3138594878505618, 0.6918837588709086, 0.8670130455102008, 0.009158919469778771, 289.56370715371986, 0.8278707540067529, 0.8513060416234296]",list index out of range
"[35.8520781799874, 0.12682223814280583, 0.5839100535987231, 0.20846520174648034, 0.3073964124568055, 304.79151035913986, 0.1673395579683898, 0.5120835516441286]",list index out of range
"[49.23835684578419, 0.6835885031270515, 0.21863964674371233, 0.104928671416258, 0.05582600201484279, 311.32495232756935, 0.8939753359137815, 0.30590682249222895]",list index out of range
