Params,Error
"[43.25966916062139, 0.06401046868571666, 0.32490499966226505, 0.632763309083963, 0.1562113588389944, 338.98212158465003, 0.2427246315534624, 0.03996837012556088]",list index out of range
"[17.110411242469173, 0.14180793483750462, 0.2607096470580705, 0.7642482930356997, 0.01824938253509312, 287.134053164758, 0.7673873005753828, 0.8727220546369784]",list index out of range
"[34.58284946327414, 0.2541964493289498, 0.4653288734219107, 0.01653435456127673, 0.22738724015092923, 276.50695285039666, 0.4654040926392723, 0.7051355682098773]",list index out of range
"[36.03493629731056, 0.837237758141156, 0.8743274571615389, 0.020132376756159556, 0.693568373016653, 302.0768085854084, 0.4775363489334276, 0.6876728029123226]",list index out of range
"[29.239644466005796, 0.13666210872905502, 0.017591464158681566, 0.966721875543277, 0.7572154702575249, 305.8881519478136, 0.3237012823863839, 0.9741588769313613]",list index out of range
"[8.327071707891681, 0.2581190798579121, 0.4789719258717213, 0.39182128009135175, 0.260067672039728, 311.1610317896328, 0.3844086121491261, 0.876256343550335]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[29.222850306258792, 0.05538419315499255, 0.32997898599900854, 0.5926339113493191, 0.5344670915148083, 305.38119731630445, 0.6697832850953049, 0.2943846811731661]",list index out of range
"[40.80494004374808, 0.47568750459245723, 0.0399315900644711, 0.16391422172524842, 0.5001206176886676, 282.3139959701402, 0.1502735383971818, 0.41208086459235066]",list index out of range
"[8.673206550044025, 0.5603330880770331, 0.8887936441374882, 0.1238028422674437, 0.6741036374501346, 287.46656929857903, 0.4139716448799426, 0.5170444092862112]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[14.262429398414136, 0.3867887872252481, 0.4894955384321589, 0.11880934374254151, 0.18286972658366585, 302.0419584235827, 0.7531803628257439, 0.005604663058137285]",list index out of range
"[49.964082745208444, 0.16482531379937845, 0.016339687544266224, 0.8439540000384214, 0.6247490955911515, 334.199788216565, 0.19435050467876733, 0.34146781488644745]",list index out of range
"[21.40124406773019, 0.8822458337459075, 0.615135343138268, 0.012033048898593452, 0.3737369115894465, 322.0980233696681, 0.8952430459133038, 0.7807420127897026]",list index out of range
"[30.051300875468964, 0.004034741640928683, 0.03231473458621444, 0.7595077833747088, 0.13493401540558797, 283.26262607165916, 0.24663066696759564, 0.778184125448498]",list index out of range
"[30.564775278050597, 0.13877706738726062, 0.14005298374830305, 0.04790974501640446, 0.6367557456981146, 347.0852591606022, 0.23952098086042087, 0.6283157559556591]",list index out of range
"[30.89719234598006, 0.6754851266959253, 0.04699249789895931, 0.6250709142162365, 0.975798470937197, 333.755355441615, 0.6787563092327719, 0.0373514031744698]",'HXutility' object has no attribute '_inlet_cost'
"[1.5488401505970981, 0.45862088208382945, 0.5487798230156344, 0.326455472089403, 0.2506167333935697, 319.8388564494721, 0.7810557923096031, 0.3360345899517694]",'HXutility' object has no attribute '_inlet_cost'
"[29.079127481230593, 0.4980774333780724, 0.5620567350294262, 0.11540545416504036, 0.11956316305796019, 338.1849304444062, 0.25151130145164347, 0.07492638458379568]",list index out of range
"[30.914439833638745, 0.959406199138247, 0.30185751903209845, 0.37655592645316804, 0.06834728349444379, 288.799312166065, 0.2574304518405099, 0.5508423577992496]",list index out of range
"[2.0805607614568, 0.5509724650640447, 0.7649205139669177, 0.5187447125331989, 0.1686478456846296, 300.8324297452948, 0.4206310805655026, 0.41386262913662863]",'MESHDistillation' object has no attribute '_inlet_cost'
